"","heart_disease_mortality_per_100k","econ__pct_civilian_labor","econ__pct_unemployment","econ__pct_uninsured_adults","econ__pct_uninsured_children","demo__pct_below_18_years_of_age","demo__pct_aged_65_years_and_older","demo__birth_rate_per_1k","demo__death_rate_per_1k","health__pct_adult_obesity","health__pct_adult_smoking","health__pct_diabetes","health__pct_low_birthweight","health__pct_excessive_drinking","health__pct_physical_inacticity","health__air_pollution_particulate_matter","health__homicides_per_100k","health__motor_vehicle_crash_deaths_per_100k","health__pop_per_dentist","health__pop_per_primary_care_physician","Area_Rucc","Econ_Economic_typology","Area_Urban_Influence"
"1",312,0.408,0.057,0.254,0.066,0.235,0.176,12,12,0.297,0.23,0.131,0.089,NA,0.332,13,2.8,15.09,1650,1489,"A3","Manu","M2"
"2",257,0.556,0.039,0.26,0.143,0.272,0.101,19,7,0.288,0.19,0.09,0.082,0.181,0.265,10,2.3,19.79,2010,2480,"A3","Mining","M2"
"3",195,0.541,0.057,0.07,0.023,0.179,0.115,12,6,0.212,0.156,0.084,0.098,0.195,0.209,10,9.31,3.14,629,690,"A1","Nonsp","M1"
"4",218,0.5,0.061,0.203,0.059,0.2,0.164,11,12,0.285,NA,0.104,0.058,NA,0.238,13,NA,NA,1810,6630,"C2","Nonsp","N1"
"5",355,0.471,0.05,0.225,0.103,0.237,0.171,14,12,0.284,0.234,0.137,0.07,0.194,0.29,9,NA,29.39,3489,2590,"D2","Nonsp","N5"
"6",288,0.501,0.048,0.212,0.055,0.207,0.121,11,8,0.283,0.22,0.112,0.089,0.067,0.272,13,3.8,13.74,2439,1540,"C1","Fed","M4"
"7",283,0.462,0.088,0.18,0.039,0.221,0.167,10,10,0.305,0.205,0.11,0.07,0.193,0.282,12,NA,18.55,3100,3689,"C2","Nonsp","N7"
"8",315,0.425,0.077,0.252,0.079,0.247,0.134,12,10,0.317,0.264,0.131,0.092,0.13,0.277,13,5.6,22.27,2800,1790,"A2","Manu","M2"
"9",426,0.313,0.111,0.275,0.063,0.248,0.11,12,10,0.417,0.208,0.127,0.139,0.106,0.373,12,13.6,22.78,3990,3549,"D2","Nonsp","M5"
"10",309,0.371,0.044,0.241,0.11,0.347,0.121,21,10,0.332,0.341,0.101,0.073,0.214,0.333,9,NA,63.15,NA,NA,"B2","Farm","M5"
